,Marque,Model,Marque_Model,Prix,Mise_en_circulation,Puissance_fiscale,Kilometrage,Carburant,Boite_Vitesse,Gouvernorat
0,Volkswagen,Golf7,Volkswagen Golf7,55000,2016,5,114000,Essence,Manuelle,tunis
1,Volkswagen,Golf7,Volkswagen Golf7,68900,2017,5,72000,Essence,Manuelle,tunis
2,Volkswagen,Golf7,Volkswagen Golf7,53000,2014,5,153000,Essence,Manuelle,tunis
3,Volkswagen,Polo7,Volkswagen Polo7,24000,2010,5,272000,Essence,Manuelle,tunis
4,Volkswagen,Golf7,Volkswagen Golf7,52000,2015,5,130000,Essence,Manuelle,tunis
5,Volkswagen,Polo,Volkswagen Polo,27600,2012,5,230000,Essence,Manuelle,tunis
6,Volkswagen,Polo7,Volkswagen Polo7,25000,2011,5,180000,Essence,Manuelle,tunis
7,Volkswagen,Polo,Volkswagen Polo,33500,2014,5,111000,Essence,Manuelle,tunis
8,Volkswagen,Polo7,Volkswagen Polo7,22800,2011,5,119000,Essence,Manuelle,tunis
9,Volkswagen,Golf5,Volkswagen Golf5,26000,2005,5,212000,Essence,Manuelle,tunis
10,Volkswagen,Polo,Volkswagen Polo,28000,2014,5,69500,Essence,Manuelle,tunis
11,Volkswagen,Polo7,Volkswagen Polo7,15000,2010,5,190000,Essence,Manuelle,tunis
12,Volkswagen,Golf7,Volkswagen Golf7,40000,2014,5,60000,Essence,Manuelle,tunis
13,Volkswagen,Golf6,Volkswagen Golf6,26000,2010,5,130000,Essence,Manuelle,tunis
14,Volkswagen,Golf6,Volkswagen Golf6,35500,2012,5,93100,Essence,Manuelle,tunis
15,Volkswagen,Golf6,Volkswagen Golf6,37500,2012,5,57500,Essence,Manuelle,tunis
16,Volkswagen,Golf5,Volkswagen Golf5,25000,2008,5,150000,Essence,Manuelle,tunis
17,Volkswagen,Golf6,Volkswagen Golf6,31000,2010,5,162000,Essence,Manuelle,tunis
18,Volkswagen,Passat,Volkswagen Passat,36500,2010,5,260000,Diesel,Manuelle,tunis
19,Volkswagen,Golf7,Volkswagen Golf7,45800,2012,5,109000,Diesel,Manuelle,tunis
20,Volkswagen,Golf6,Volkswagen Golf6,31500,2010,5,130000,Diesel,Manuelle,tunis
21,Volkswagen,Golf7,Volkswagen Golf7,52000,2014,5,53000,Essence,Automatique,tunis
22,Volkswagen,Golf7,Volkswagen Golf7,66500,2016,5,72000,Essence,Manuelle,tunis
